iter	Passed	Remaining
0	698	698061
1	1202	600187
2	1709	567979
3	2215	551764
4	2731	543475
5	3242	537130
6	3754	532628
7	4271	529710
8	4786	527091
9	5290	523787
10	5805	521932
11	6322	520550
12	6830	518617
13	7357	518178
14	7862	516297
15	8383	515579
16	8900	514666
17	9412	513499
18	9917	512072
19	10434	511284
20	10953	510647
21	11482	510428
22	11995	509537
23	12514	508929
24	13035	508367
25	13530	506890
26	14046	506204
27	14559	505438
28	15065	504438
29	15581	503787
30	16095	503107
31	16613	502559
32	17131	501997
33	17652	501547
34	18172	501048
35	18694	500594
36	19210	499989
37	19732	499538
38	20239	498714
39	20753	498084
40	21271	497554
41	21781	496816
42	22293	496152
43	22809	495590
44	23340	495327
45	23844	494519
46	24363	494011
47	24878	493418
48	25399	492951
49	25911	492324
50	26419	491607
51	26946	491254
52	27463	490723
53	27976	490100
54	28484	489420
55	29005	488949
56	29528	488508
57	30061	488232
58	30571	487587
59	31088	487049
60	31617	486695
61	32118	485919
62	32635	485382
63	33150	484829
64	33656	484142
65	34174	483621
66	34685	483006
67	35200	482456
68	35715	481902
69	36232	481370
70	36746	480813
71	37258	480216
72	37777	479720
73	38288	479125
74	38816	478738
75	39339	478282
76	39848	477667
77	40362	477106
78	40885	476656
79	41406	476174
80	41938	475821
81	42454	475279
82	42983	474887
83	43500	474357
84	44017	473834
85	44531	473271
86	45041	472677
87	45565	472221
88	46079	471665
89	46595	471129
90	47110	470583
91	47621	470002
92	48131	469410
93	48656	468968
94	49180	468507
95	49691	467932
96	50205	467378
97	50713	466774
98	51234	466282
99	51747	465727
100	52257	465139
101	52775	464633
102	53308	464253
103	53833	463797
104	54334	463139
105	54833	462467
106	55340	461861
107	55852	461303
108	56366	460757
109	56879	460209
110	57396	459686
111	57907	459120
112	58431	458659
113	58958	458222
114	59478	457726
115	59988	457156
116	60499	456589
117	61016	456069
118	61531	455541
119	62058	455094
120	62572	454555
121	63097	454097
122	63601	453486
123	64119	452974
124	64622	452356
125	65150	451917
126	65656	451321
127	66174	450810
128	66700	450357
129	67218	449848
130	67747	449407
131	68257	448846
132	68765	448265
133	69270	447675
134	69777	447091
135	70284	446514
136	70795	445961
137	71303	445390
138	71823	444894
139	72341	444382
140	72869	443933
141	73368	443312
142	73871	442713
143	74391	442214
144	74895	441625
145	75411	441107
146	75930	440602
147	76448	440094
148	76975	439636
149	77486	439091
150	78010	438618
